doc,sentence
7,title.
7,profile datasteward.
7,author.
7,review.
7,myke mol (umc-staf sd-cro).
7,date.
7,version.
7,25 may 2018.
7,draft - 0.1.
7,version control .
7,version.
7,date.
7,author.
7,reason for change.
7,0.1.
7,24 may 2018.
7,myke mol.
7,profile data steward.
7,this profile description is a preliminary description of a data steward at the different departments within the umcg.
7,most important aspect of a data steward at is to assure the quality and integrity of the research data within the department he she is appointed at as a data steward.
7,the data steward should have the following competences .
7,phd degree or a minimum of five years of experience in the field of medical scientific research.
7,experience with and knowledge about research data management.
7,experience with managing research data in different stages of the data life cycle.
7,"experience with and knowledge about it facilities and tools for research data (e.g. data capture tools (open clinica, oracle clinical), statistical programmes, high performance computing)."
7,"knowledge about rules and regulation within (medical) scientific research (wmo, gdpr avg, wgbo)."
7,"familiar with (international) guidelines for (medical) scientific research (fair, good clinical practice)."
7,familiar with the umcg research toolbox and standard operating procedures for data management.
7,the following tasks of a data steward can be distinguished .
7,coordinates the setting up and implementation of research data management (rdm) policy within the department in accordance with the umcg policy.
7,monitors the progress of execution of the rdm policy at the department.
7,assures compliance with rdm policy at the department and support for the researchers.
7,assures adequate education level and skills of researchers with regards to research data management.
7,provides advice to researchers on research data management.
7,"refers researchers to other facilities and services (legal, financial or operational) within the umcg."
7,contact person for researchers on discipline specific knowledge on research data management.
