doc,sentence
5,data manager data steward (re2 re3).
5,job reference.
5,220_ls_inb_re2re3.
5,position.
5,data manager data steward (re2 re3).
5,closing date.
5,"wednesday, 27 december, 2017."
5,about bsc.
5,the barcelona supercomputing center - centro nacional de supercomputación (bsc-.
5,cns) is the leading supercomputing center in spain.
5,"it houses marenostrum, one of the. most powerful supercomputers in europe, and is a hosting member of the prace."
5,european distributed supercomputing infrastructure.
5,"the mission of bsc is to research,. develop and manage information technologies in order to facilitate scientific progress."
5,"bsc combines hpc service provision and randd into both computer and computational. science (life, earth and engineering sciences) under one roof, and currently has over 500. staff from 44 countries."
5,context and mission.
5,"the successful candidate will work in a number projects in which the life departments. is involved including openminted, imi etransafe, elixir, and several."
5,personalized medicine proposals.
5,bsc participates in the “pla estratègic de recerca i innovació en salut” (peris) in. which catalonia seeks to engage a uniform use of clinical and genomics data from the. point of view of clinical care.
5,"including projects in cancer, rare and neuro-degenerative. diseases."
5,"besides the activity as reference computational center, peris initiatives. include most relevant catalan hospitals, as well as the spanish national genomics. facility, cnag-crg."
5,"these projects, can be considered as pilots of a future larger scale. personalized medicine programme in catalonia, where infrastructures like bsc will. have a key relevance."
5,"elixir (european life science infrastructure for biological information) is a pan-. european organization founded in 2014, which aims to integrate and harmonize."
5,european bioinformatics infrastructures.
5,"elixir coordinates the participation of more. than 20 countries, engages with other strategic european initiatives and projects e.g."
5,"esfri, research data alliance, eudat, egi; promotes specific training activities and. workshops on elixir resources, partners with industry, and play a key role in shaping. the bioinformatics landscape."
5,"spain is member of elixir since 2015, with the inb as. the spanish national node."
5,"within elixir, the inb is responsible for the. bioinformatics infrastructure offered by spain, and therefore, should guarantee its. alignment to the strategic areas put forward by elixir."
5,key duties.
5,contribute to design specific data management plans for each project.
5,propose solutions for making existing data complaint with the fair principles.
5,contribute to the general strategy around data management plans for the life sciences. department.
5,contribute to delineate how to manage data at the coming personalized medicine plans.
5,work together with other stakeholders to ensure the appropriate implementation of. previously agreed standards and methodologies.
5,requirements.
5,education.
5,"data management related degrees including computer sciences, documentalist,."
5,biology.
5,essential knowledge and professional experience.
5,professional experience on the design of data management plans.
5,professional experience on implementing fair-data solutions.
5,professional experience on documenting and following up the implementation of. data management plans.
5,additional knowledge and professional experience.
5,familiar with software containers technologies such as dockers and or singularity.
5,competences.
5,fluency in spoken and written english.
5,good writing and presentation skills.
5,used to work under pressure under strict deadlines.
5,"strong personal soft-skills sets communicative, enthusiastic, highly collaborative,. proactive, self-driven."
5,strong technical writing skills.
5,conditions.
5,the position will be located at bsc within the life sciences department.
5,"we offer a full-time contract, a good working environment, a highly stimulating. environment with state-of-the-art infrastructure, flexible hours, extensive training plan,. tickets restaurant, private health insurance, fully support to the relocation procedures."
5,salary we offer a competitive salary commensurate with the qualifications and experience. of the candidate and according to the cost of living in barcelona.
5,starting date asap.
5,applications procedure.
5,application procedure through the website.
5,ref.220.
5,all applications must include .
5,"a motivation letter with a statement of interest, including two contacts for further. references."
5,a full cv including contact details.
5,deadline.
5,the vacancy will remain open until suitable candidate has been hired.
5,applications will. be regularly reviewed and potential candidates will be contacted.
5,diversity and equal opportunity employment.
5,bsc-cns is an equal opportunity employer committed to diversity and inclusion.
5,"we. are pleased to consider all qualified applicants for employment without regard to race,. color, religion, sex, sexual orientation, gender identity, national origin, age, disability or. any other basis protected by applicable state or local law."
