doc,sentence
4,data archiving and networked services (dans).
4,dans (data archiving and networked services) is the netherlands institute for. permanent access to digital research resources.
4,"dans encourages researchers. to make their digital research data and related outputs findable, accessible,."
4,interoperable and reusable.
4,we provide expert advice and certified services.
4,"our core services are dataversenl for short-term data management, easy for. long-term archiving, and narcis, the national portal for research information."
4,"by participating in (inter)national projects, networks and research, dans. contributes to continued innovation of the global scientific data infrastructure."
4,"open if possible, protected where necessary."
4,dans is an institute of the dutch.
4,academy knaw and funding organisation nwo.
4,for a period of 6 month we require the services of an enthusiastic.
4,traineeship fair research data reviews. working 30.4 – 38 hours per week (0.8-1.0 fte).
4,(vacaturenummer dans 2018 fair).
4,where will you be working?.
4,dans provides data services to various national and international researchers. and research organisations enabling them to archive and share their data.
4,dans participates in a wide variety of national and international projects.
4,context of your work.
4,the peer review of publications is an old and established mechanism for quality. control of scientific output.
4,dans was one of the first research data archives to. turn the idea of reviewing research data into practice.
4,"the fair data principles. require that research data should be findable, accessible, interoperable and."
4,reusable (see doi 10.1038 sdata.2016.18).
4,"we implemented these principles. in a first prototype of a review tool for data sets based on a questionnaire,. which is available online."
4,"after the successful testing, application and review of. this tool a number of further questions and points of improvement came to the. fore which now will have to be further developed and implemented in a second. prototype."
4,what will you be doing?.
4,"we are looking for a trainee who is interested to study and implement the fair. principles of data reviewing in a practical context, to think about and to set up. a new review questionnaire, to improve the workflow and to apply it in a. trusted digital archive, to analyse the quality of the review information we. collect, and also to suggest the ways in which we design and present the tool. to the users."
4,what do we expect from you?.
4,"you have a ba or similar degree, preferably in data science, applied. informatics or applied (social) science research methods."
4,you are interested in the issues connected to data quality and research. data management.
4,you have an insight in information management and or applied data. science.
4,"you have knowledge about methods and techniques of data collection,. and in particular about online surveys and questionnaire design."
4,you possess good writing and editing skills.
4,you have a good command of both written and spoken english.
4,what will you earn?
4,"dans offers a suitable internship allowance and a nice. working environment, with about 50 highly involved and motivated. professionals as colleagues."
4,where is your workplace?
4,dans is located at the anna van saksenlaan in.
4,"the hague, within walking distance of laan van noi station."
4,who can tell you more?
4,for further information please enquire with peter.
4,"doorn, director of dans via peter.doorn@dans.knaw.nl or with eliane."
4,"fankhauser, junior policy advisor via e-mail eliane.fankhauser@dans.knaw.nl. or skype eliane.fankhauser."
4,more information about dans can be found on. our website www.dans.knaw.nl en.
4,how can you apply?
4,please send your letter of application and cv – with. reference to the correct vacancy number – for the attention of pando advisor.
4,hetty labots to the following email address sollicitaties@dans.knaw.nl.
4,the deadline for submitting your application is 1 june 2018.
