doc,sentence
6,.
6,university of st andrews .
6,university library . .
6,research data officer – ad1671as . .
6,further particulars for applicants . . .
6,university library . .
6,the university library was founded in 1612 by a royal gift of books from.
6,"king james vi of scotland, and our collection development policy has always. reflected the teaching and research profile of the institution."
6,"we are. responsible for delivering high-quality information in digital and print. form along with user-centric services to support students, academic and. research staff who work within the university as well as the wider academic. and local communities."
6,the university library has a staff of over 100 and. is organised into four divisions .
6,"collections, liaison and resources."
6,digital research.
6,public services and communications.
6,special collections.
6,"staff across the divisions work together to support the university in its. mission to deliver excellence in learning, teaching and research."
6,we aim to. provide excellent customer service and remain at the forefront of service. delivery. . [pic]. .
6,the job description for this role is attached below. . . .
6,job description . . . .
6,job title research data officer. .
6,school unit university library. .
6,reporting to data scientist. .
6,"job family managerial, specialist and administrative. ."
6,duration of post 6 months may be extended.
6,secondment opportunity. . .
6,working hours full-time 36.25 hours per week. .
6,"grade salary range grade 5 £26,495 – £31,604 per annum, pro rata. ."
6,reference no ad1671as. .
6,"start date 12 nov 2018, or as soon as possible thereafter. ."
6,interview date 27 september 2018. .
6,main purpose of role . .
6,to support the day-to-day running of the research data management service. and to assist the data scientist in ensuring that the university meets. funders’ evolving requirements for open research data.
6,"to this end the post. holder will advise academic staff on policy compliance, assist researchers. to deposit research data to the university’s current research information. system (pure) and promote good practice in research data management. throughout the research life cycle. ."
6,the post holder will also support the data scientist on the jisc research.
6,data shared service project. . .
6,key duties and responsibilities . .
6,research data management (rdm) support and advocacy.
6,provide first and second line support to researchers (staff and students). across the university in order to make university research data publicly. available. .
6,answer research data management enquiries; i.e. data publication workflows. and deposit in pure. .
6,support researchers with mediated deposit of research data when requested. .
6,"work on the research information system pure to create, edit, check and. validate research data records."
6,"this will include quality control of data. files, metadata creation, metadata quality control for research data and. issuing of dois (digital objects identifiers). ."
6,develop and maintain an understanding of different licensing options for. datasets; i.e.
6,creative commons licences. .
6,"build and maintain effective relationships with colleagues in the library,. research policy office and administrative and technical staff in academic. schools. ."
6,contribute to the refinement of existing workflows and the development of. new ones.
6,co-ordinate and develop discipline-specific guidance and workflows.
6,"create documentation, factsheets and information for web pages and the rdm. blog."
6,co-ordinate updates of funders’ policies information on the rdm website.
6,"support the organisation and presentation of advocacy and training events. for research data management services, including covering for the data."
6,scientist as required. .
6,rdm policy and compliance.
