doc,sentence
2,"data steward at the faculty of technology, policy and management."
2,"data steward at the faculty of technology, policy and management."
2,published.
2,deadline.
2,location. yesterday.
2,2 dec.
2,delft.
2,job description.
2,your main task is to advise researchers on data management.
2,you will .
2,"act as spokesperson for your faculty, create awareness and explain to researchers the added value of good data management."
2,"lead the development and implementation of faculty’s data management policy, with understanding of faculty-specific needs."
2,"assist in planning the collection, management and publication of data in research projects."
2,explore and analyse trends in research data management specific to your faculty.
2,advise on short- and long-term actions to advance research data management at the faculty and across the university.
2,develop and run training events tailored to researchers’ needs and inspire researchers to participate.
2,assess and report on the progress of the project.
2,requirements.
2,we are looking for candidates experienced with research methodologies relevant to the faculty's research.
2,the candidates .
2,have (or are studying for) a phd in a relevant subject area (desirable).
2,have experience in managing research data (both qualitative and quantitative).
2,knowledge of software management would be a plus.
2,have a broad understanding of how research operates and how data and software underpins reproducible research.
2,"are excellent communicators, able to speak not only with researchers, but also with other support staff, and are sensitive to organisation-specific culture and practices."
2,conditions of employment.
2,"this position has an amount of 38 (1,0 fte) working hours per week."
2,the offer contains a temporary appointment for 1 year with prospect of extension.
2,"the salary is based on scale 10 with a minimum of € 2.640,- and a maximum of € 4.166,- per month on a fulltime basis."
2,"the tu delft offers a customisable compensation package, a discount for health insurance and sport memberships, and a monthly work costs contribution."
2,flexible work schedules can be arranged.
2,an international children’s centre offers child care and an international primary school.
2,dual career services offers support to accompanying partners.
2,salary and benefits are in accordance with the collective labour agreement for dutch universities.
2,employer.
2,delft university of technology.
2,delft university of technology (tu delft) is a multifaceted institution offering education and carrying out research in the technical sciences at an internationally recognised level.
2,"education, research and design are strongly oriented towards applicability."
2,"tu delft develops technologies for future generations, focusing on sustainability, safety and economic vitality."
2,at tu delft you will work in an environment where technical sciences and society converge.
2,"tu delft comprises eight faculties, unique laboratories, research institutes and schools. https www.tudelft.nl."
2,department.
2,"faculty technology, policy and management."
2,"the faculty of technology, policy and management (tpm) develops robust models and designs, to solve the complex challenges of today’s networked society."
2,tpm combines insights from the engineering sciences with insights from the humanities and the social sciences. https www.tudelft.nl en tpm .
2,additional information.
2,tu delft’s data stewardship project aims at addressing data management needs across the campus in a disciplinary manner by appointing a subject-specific data steward at every tu delft faculty.
2,"we are now looking to appoint a data steward for the faculty of technology, policy and management."
2,the data steward will take the lead in engaging researchers in better data management practices.
2,more information about the project can be found here https www.tudelft.nl en library current-topics research-data-management research-data-management data-stewardship .
2,"for more information about this position, please contact marta teperek, data stewardship coordinator, e-mail m.teperek@tudelft.nl."
2,"for informal questions about the job, contact shalini kurapati, the current role holder, e-mail s.kurapati@tudelft.nl."
2,"for more information about the selection procedure, please contact ruth vidal, e-mail po.ud@tudelft.nl."
2,"to apply, please e-mail a detailed cv along with a letter of motivation by 2 december 2018 to marta teperek, e-mail po.ud@tudelft.nl."
2,please name your cv and letter of motivation with your first and last name.
2,incomplete applications will not be considered.
2,"when applying for this position, please refer to vacancy number at ud tudl 2018-15. ."
2,shortlisted candidates will be notified on 7 december 2018.
2,the interviews will take place on 13 december 2018.
