doc,sentence
2,"this role can be based out of collegeville, pennsylvania_ groton, connecticut_peapack, new jersey_new york city_sandwich, uk."
2,"the data governance lead will organize, manage, optimize and coordinate all activities in the areas of data governance (dg)."
2,"the span of control will be across all im domains including safety, regulatory, clinical and content management."
2,role responsibilities.
2,"define and implement a data governance operating model that defines the roles and responsibilities, governance boards, and governance processes for all data domains."
2,"establish and operate a right-size data governance framework that incorporates leadership council, tactical working teams and business and technical data stewards."
2,"lead the efforts to define data charters policies, standards and practices to achieve the required level of consistency, quality and protection to meet overall business needs."
2,"build and maintain a dg prioritized roadmap for governance processes and models, capability, and service."
2,define data governance success measures and track and report results.
2,collaborate with key stakeholders to ensure alignment on scope and approach of service delivery for dg.
2,define and implement a data governance framework for maintaining control of data within respective data regulations.
2,design and deliver monitoring capabilities to ensure the application of governance principles.
2,"communicate across stakeholders to promote and govern technology, solution architecture, data governance framework and service models to drive towards harmonization of dg across the enterprise."
2,define and implement information standards to ensure integrity and stewardship across functions.
2,"define, and rollout data ownership, responsibility and accountability."
2,"coordinate with data stewards and data owners across the enterprise to address data quality issues and develop data governance goals, standards, processes, and technologies."
2,basic qualifications.
2,"minimum of bachelor’s degree in life sciences, information management technology."
2,mba or ms computer science desired.
2,"15+ years experience in technology, consulting, life sciences."
2,5 - 8 years experience working in data quality management or data governance.
2,proven leadership of high-performing cross-functional global teams in matrixed organizations.
2,deep understanding of life sciences data and data analytics.
2,experience in delivering dg and knowing areas of risk along with how to mitigate them.
2,knowledge of process methodologies and innovative ways of managing data governance.
2,ability to work with external partners and lead partnerships.
2,"ability to articulate and lead extended teams along long-term capability development roadmap, and to multi-task in a deadline-intensive environment."
2,"highly developed analytical, problem-solving, change management and consulting skills."
2,"strong change leadership, communication, influencing, and negotiation skills."
2,sunshine act.
2,pfizer reports payments and other transfers of value to health care providers as required by federal and state transparency laws and implementing regulations.
2,"these laws and regulations require pfizer to provide government agencies with information such as a health care provider’s name, address and the type of payments or other value received, generally for public disclosure."
2,"subject to further legal review and statutory or regulatory clarification, which pfizer intends to pursue, reimbursement of recruiting expenses for licensed physicians may constitute a reportable transfer of value under the federal transparency law commonly known as the sunshine act."
2,"therefore, if you are a licensed physician who incurs recruiting expenses as a result of interviewing with pfizer that we pay or reimburse, your name, address and the amount of payments made currently will be reported to the government."
2,"if you have questions regarding this matter, please do not hesitate to contact your talent acquisition representative."
2,eeo and employment eligibility.
2,"pfizer is committed to equal opportunity in the terms and conditions of employment for all employees and job applicants without regard to race, color, religion, sex, sexual orientation, age, gender identity or gender expression, national origin, disability or veteran status."
2,"pfizer also complies with all applicable national, state and local laws governing nondiscrimination in employment as well as work authorization and employment eligibility verification requirements of the immigration and nationality act and irca."
2,pfizer is an e-verify employer.
2,pfizer is an equal opportunity employer and complies with all applicable equal employment opportunity legislation in each jurisdiction in which it operates.
