doc,sentence
6,"data architectposition summary this person strengthens the impact of, and provides recommendations on, business and scientific information that will need to be available and shared consistently across the organization through the identification, definition and analysis of how information assets aid strategies and business outcomes."
6,the data architect is responsible for discovering the enterprise data and analytics requirements for information for all uses.
6,"data management — also sometimes referred to as enterprise data management (edm) — is the ability of an organization to precisely define, easily integrate and effectively retrieve data for both internal applications and external communication."
6,"edm is focused on the creation of accurate, consistent and transparent content."
6,"edm emphasizes data precision, granularity and meaning and is concerned with how the content is integrated into business applications as well as how it is passed along from one business process to another."
6,edm works in tandem with the enterprise architecture (ea) activities that define a company's business information assets as part of its information strategy to respond to disruptive forces and move toward desired business outcomes.
6,"our advanced analytics and data sciences organization is growing to support the entire lilly enterprise, from discovery to development to manufacturing and commercialization of our medicines to solve the complex problems of a global business and the ever-evolving data and analytics landscape."
6,"we are playing a leading role in transforming the way the company discovers and develops new treatments, identifies personalized treatment regimens, drives efficiency in our operations and optimizes our commercialization of new products."
6,"we are doing this with an emphasis in the areas of machine learning and artificial intelligence, natural language processing and other approaches to unstructured data, advanced mathematical and predictive modeling, visual analytics and more."
6,this role will help support these advanced analytics endeavors by facilitating and managing the data operating model on which these analytical projects are stood up.
6,come join us on our amazing journey to make life better!
6,primary responsibilities and activities.
6,enhances data integration team accomplishments and competence by planning delivery of solutions and providing technical and procedural guidance to team members.
6,"build relationships with data owners study data sources by interviewing users; define analyze, and validate data objects; identify relationships between data objects."
6,"data catalog inventory data assets and data asset information management, mtdm mdm, plan data integration processes, develop common definitions of sourced data, design common keys for physical data structure, establish data integration specifications, examine data models and data warehouse schemas, determine best-fit data interchange methods."
6,"develop project scope and specifications assess middleware tools for data integration, transformation, and routing; identify pros and cons and impact of data integration; forecast resource requirements; establish delivery timetables."
6,"maximize value derived from data and analytics foster value creation using the organization's data assets, as well as the external data ecosystem."
6,"this includes aiding value creation through data exploitation, envisioning data-enabled strategies, as well as enabling all forms of business outcomes through analytics, data and analytics governance, and enterprise information policy."
6,"enable effective data and analytics governance suggest who can take what actions with what information, and under what circumstances."
6,"assist data and analytics leaders, and business and it leadership in developing information governance processes and structures."
6,"conduct business information modeling create and manage business information models in all their forms, including conceptual models, relational database designs, message models and others."
6,manage risk aid the definition of data classifications and data zoning to allow information assets to be immediately identified and proactively managed as more information becomes federated in a digital economy.
6,"improve eim edm performance aid efforts to improve business performance through enterprise information solutions and capabilities, such as master data management (mdm), metadata management, analytics, content management, data integration, and related information management or information infrastructure components."
6,primary work arrangements.
6,"collaborate with data and analytics leaders, data science and analytics specialists, information management staff, solution developers and business domain stakeholders, such as information managers, data stewards and business analysts."
6,collaborate with a federated team of information architects while leveraging subject matter experts as required.
6,company overview.
6,"at lilly, we unite caring with discovery to make life better for people around the world."
6,"we are a global healthcare leader headquartered in indianapolis, indiana."
6,"our 39,000 employees around the world work to discover and bring life-changing medicines to those who need them, improve the understanding and management of disease, and give back to our communities through philanthropy and volunteerism."
6,"we give our best effort to our work, and we put people first."
6,we’re looking for people who are determined to make life better for people around the world.
6,basic qualifications.
6,bachelor's degree.
6,"a minimum of 10 years of in-depth experience in designing and implementing data information solutions and or managing, organizing and classifying data."
6,qualified candidates must be legally authorized to be employed in the united states.
6,"lilly does not anticipate providing sponsorship for employment visa status (e.g., h-1b or tn status) for this employment position."
6,additional information.
6,"lilly is an eeo affirmative action employer and does not discriminate on the basis of age, race, color, religion, gender, sexual orientation, gender identity, gender expression, national origin, protected veteran status, disability or any other legally protected status."
6,additional skills preferences.
6,three to five years' experience as a data analyst is highly desirable.
6,experience with knowledge bases and ontologies.
6,hands-on experience with implementing large scale data and analytics management programs is preferred.
6,experience with metadata and master data management.
6,previous experience in pharma life sciences healthcare.
6,"excellent communication and ability to interact with executives, stakeholders and technical staff."
6,"ability to influence and work with data owners, build collaborative relationships and networks."
6,data modeling and information classification expertise at the enterprise level.
6,understanding of common information architecture frameworks and information models.
6,"understanding of meta-models, taxonomies and ontologies, as well as of the challenges of applying structured techniques (data modeling) to less-structured sources."
6,"familiarity with data science concepts, as well as mdm, business intelligence, and data warehouse design and implementation techniques."
6,regionnorth america.
6,country.
6,usa.
6,cityindianapolis.
6,location details.
6,indianapolis.
6,job expires18-jan-2019
