doc,sentence
7,desired excelsqltableaudata miningbusiness intelligencepythonwe are searching for an analyst to join the operations team at twist.
7,"as a data analyst you will be responsible for gathering data, generating metrics, finding trends, compiling reports, interpreting results, and communicating conclusions to management."
7,this position will also be the designated data steward for our operational data.
7,"as such, you will be responsible for monitoring operational data quality, identifying issues, and performing data cleanups."
7,the data analyst will thus ensure that our data is clean and that we extract as much value as possible out of it. .
7,the successful candidate will have a passion for data and an intense attention to detail.
7,"they will work with business partners to define metrics for tracking business performance, and then deliver dashboards and reports on those metrics."
7,the data analyst will also drive operational excellence by monitoring key performance indicators (kpis) and generating regular reports. .
7,responsibilities.
7,perform routine data mining using a variety of source data and methods.
7,manage daily-weekly-monthly reporting.
7,prepare ad-hoc reports.
7,review reports for accuracy and completeness.
7,create tableau dashboards to track kpis.
7,respond to outside requests for data.
7,identify patterns in operational data.
7,"actively monitor, analyze, and report metrics to track business performance goals."
7,official data steward for operations.
7,accountable for data quality.
7,monitor data quality.
7,identify data quality issues.
7,perform data cleanup.
7,work with business partners to provide technical guidance on operational data needs.
7,required experience qualifications bachelor's degree – stem background preferred. 1+ year analyst experience.
7,proficient in sql and excel.
7,"experience with reporting, business intelligence or similar."
7,experience with data visualization tools – tableau preferred.
7,good understanding of data infrastructures.
7,fluency in data analysis principles.
7,"able to build and iterate reports, tools, and dashboards."
7,detail-oriented.
7,able to understand and justify the gritty details of each report.
7,"data must be good, analysis must be sound, results must be correct, and metrics must make business sense."
7,proven ability to write excellent documentation.
7,excellent verbal and written skills.
7,must be able to clearly communicate data-related technical concepts.
7,"able to navigate between multiple projects, meet deadlines, and process ad hoc requests promptly. ."
7,preferred experience.
7,knowledge of python.
7,experience in manufacturing operations.
7,experience in life sciences biotech. .
7,about twist bioscience. .
7,"twist bioscience synthesizes genes from scratch, known as writing dna."
7,"just as children learn to both read and write, the next phase of development for the genomics revolution is the ability to write dna. ."
7,"at twist bioscience, we work in service of people who are changing the world for the better."
7,"in fields such as health care, agriculture, industrial chemicals and data storage, our unique silicon-based dna synthesis platform provides precision at a scale that is otherwise unavailable to our customers. ."
7,twist bioscience corporation is an equal opportunity employer.
7,"twist bioscience corporation provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, genetic characteristics, or any other category protected by law."
7,"san francisco applicants pursuant to the san francisco fair chance ordinance, we will consider for employment qualified applicants with arrest and conviction records."
