doc,sentence
4,our company.
4,veeva (nyse veev) is building the industry cloud for life sciences.
4,we develop cloud software that helps our customers develop and bring medicines to the patients that need them.
4,"veeva started in 2007 and has grown quickly to over 2,000 employees."
4,"we’re on our way to 10,000 over time and were named among the fastest growing public technology companies on forbes’ fast tech 25 list."
4,our culture and people.
4,we are focused on staying “still veeva” as we grow.
4,"our core values are do the right thing, customer success, employee success, and speed."
4,"our team brings passion, intensity and teamwork to their roles."
4,we have low employee turnover and are known as a great place to work.
4,"veeva is genuine, straightforward, and no drama."
4,the role.
4,the data steward supervisor is responsible for the direct supervision of a data stewardship team.
4,"they also retain all the responsibilities of a data steward, such as updating the attributes of healthcare organization (hco) and health care practitioner (hcp)records to improve core data."
4,responsibilities.
4,monitoring the work of their data stewardship team and ensuring quality.
4,assess and monitor the daily resource allocation and workflow management to meet project deadlines.
4,provide daily personnel supervision and performance management of the onsite and or the remote data stewardship team.
4,participate in recruiting and hiring of data stewards.
4,ensure that data stewardship goals for speed and accuracy of resolving records is upheld.
4,requirements.
4,ability to learn quickly and exhibit problem solving skills.
4,"proficiency in windows, internet searches, ms office and other office software."
4,patient demeanor and possess motivational and people skills.
4,"highly organized, extreme attention to detail and focus on quality."
4,experience working with healthcare and or healthcare-related data.
4,fluent in english.
4,call center experience – preferably in a supervisor role.
4,excellent communication skills.
4,supervisory experience preferred.
4,nice to have.
4,basic technical computer skills excel and ppt proficiency.
4,sql knowledge is a plus.
4,about veeva.
4,veeva systems is a leader in cloud-based software for the global life sciences industry.
4,"committed to innovation, product excellence, and customer success, veeva has more than 550+ customers, ranging from the world's largest pharmaceutical companies to emerging biotechs."
4,"veeva is headquartered in the san francisco bay area, with offices in europe, asia, and latin america."
4,veeva is an equal opportunity employer.
4,"all qualified applicants will receive consideration for employment without regard to race, color, sex, sexual orientation, gender identity or expression, religion, national origin or ancestry, age, disability, marital status, pregnancy, protected veteran status, protected genetic information, political affiliation, or any other characteristics protected by local laws, regulations, or ordinances."
