doc,sentence
3,our company.
3,veeva (nyse veev) is building the industry cloud for life sciences.
3,we develop cloud software that helps our customers develop and bring medicines to the patients that need them.
3,"veeva started in 2007 and has grown quickly to over 2,000 employees."
3,"we’re on our way to 10,000 over time and were named among the fastest growing public technology companies on forbes’ fast tech 25 list."
3,our culture and people.
3,we are focused on staying “still veeva” as we grow.
3,"our core values are do the right thing, customer success, employee success, and speed."
3,"our team brings passion, intensity and teamwork to their roles."
3,we have low employee turnover and are known as a great place to work.
3,"veeva is genuine, straightforward, and no drama."
3,the role.
3,the data steward supervisor is responsible for the direct supervision of a data stewardship team.
3,"they also retain all the responsibilities of a data steward, such as updating the attributes of healthcare organization (hco) and health care practitioner (hcp)records to improve core data."
3,responsibilities.
3,monitoring the work of their data stewardship team and ensuring quality.
3,assess and monitor the daily resource allocation and workflow management to meet project deadlines.
3,provide daily personnel supervision and performance management of the onsite and or the remote data stewardship team.
3,participate in recruiting and hiring of data stewards.
3,ensure that data stewardship goals for speed and accuracy of resolving records is upheld.
3,requirements.
3,ability to learn quickly and exhibit problem solving skills.
3,"proficiency in windows, internet searches, ms office and other office software."
3,patient demeanor and possess motivational and people skills.
3,"highly organized, extreme attention to detail and focus on quality."
3,experience working with healthcare and or healthcare-related data.
3,fluent in english.
3,call center experience – preferably in a supervisor role.
3,excellent communication skills.
3,supervisory experience preferred.
3,nice to have.
3,basic technical computer skills excel and ppt proficiency.
3,sql knowledge is a plus.
3,about veeva.
3,veeva systems is a leader in cloud-based software for the global life sciences industry.
3,"committed to innovation, product excellence, and customer success, veeva has more than 550+ customers, ranging from the world's largest pharmaceutical companies to emerging biotechs."
3,"veeva is headquartered in the san francisco bay area, with offices in europe, asia, and latin america."
3,veeva is an equal opportunity employer.
3,"all qualified applicants will receive consideration for employment without regard to race, color, sex, sexual orientation, gender identity or expression, religion, national origin or ancestry, age, disability, marital status, pregnancy, protected veteran status, protected genetic information, political affiliation, or any other characteristics protected by local laws, regulations, or ordinances."
