doc,sentence
1,our company.
1,veeva (nyse veev) is building the industry cloud for life sciences.
1,we develop cloud software that helps our customers develop and bring medicines to the patients that need them.
1,"veeva started in 2007 and has grown quickly to over 2,000 employees."
1,"we’re on our way to 10,000 over time and were named among the fastest growing public technology companies on forbes’ fast tech 25 list."
1,our culture and people.
1,we are focused on staying “still veeva” as we grow.
1,"our core values are do the right thing, customer success, employee success, and speed."
1,"our team brings passion, intensity and teamwork to their roles."
1,we have low employee turnover and are known as a great place to work.
1,"veeva is genuine, straightforward, and no drama."
1,the role.
1,the data steward supervisor is responsible for the direct supervision of a data stewardship team.
1,"they also retain all the responsibilities of a data steward, such as updating the attributes of healthcare organization (hco) and health care practitioner (hcp)records to improve core data."
1,responsibilities.
1,monitoring the work of their data stewardship team and ensuring quality.
1,assess and monitor the daily resource allocation and workflow management to meet project deadlines.
1,provide daily personnel supervision and performance management of the onsite and or the remote data stewardship team.
1,participate in recruiting and hiring of data stewards.
1,ensure that data stewardship goals for speed and accuracy of resolving records is upheld.
1,requirements.
1,ability to learn quickly and exhibit problem solving skills.
1,"proficiency in windows, internet searches, ms office and other office software."
1,patient demeanor and possess motivational and people skills.
1,"highly organized, extreme attention to detail and focus on quality."
1,experience working with healthcare and or healthcare-related data.
1,fluent in english.
1,call center experience – preferably in a supervisor role.
1,excellent communication skills.
1,supervisory experience preferred.
1,nice to have.
1,basic technical computer skills excel and ppt proficiency.
1,sql knowledge is a plus.
1,about veeva.
1,veeva systems is a leader in cloud-based software for the global life sciences industry.
1,"committed to innovation, product excellence, and customer success, veeva has more than 550+ customers, ranging from the world's largest pharmaceutical companies to emerging biotechs."
1,"veeva is headquartered in the san francisco bay area, with offices in europe, asia, and latin america."
1,veeva is an equal opportunity employer.
1,"all qualified applicants will receive consideration for employment without regard to race, color, sex, sexual orientation, gender identity or expression, religion, national origin or ancestry, age, disability, marital status, pregnancy, protected veteran status, protected genetic information, political affiliation, or any other characteristics protected by local laws, regulations, or ordinances."
