doc,sentence
8,we are searching for an analyst to join the operations team at twist.
8,"as a data analyst you will be responsible for gathering data, generating metrics, finding trends, compiling reports, interpreting results, and communicating conclusions to management."
8,this position will also be the designated data steward for our operational data.
8,"as such, you will be responsible for monitoring operational data quality, identifying issues, and performing data cleanups."
8,the data analyst will thus ensure that our data is clean and that we extract as much value as possible out of it. .
8,the successful candidate will have a passion for data and an intense attention to detail.
8,"they will work with business partners to define metrics for tracking business performance, and then deliver dashboards and reports on those metrics."
8,the data analyst will also drive operational excellence by monitoring key performance indicators (kpis) and generating regular reports. .
8,responsibilities.
8,perform routine data mining using a variety of source data and methods.
8,manage daily-weekly-monthly reporting.
8,prepare ad-hoc reports.
8,review reports for accuracy and completeness.
8,create tableau dashboards to track kpis.
8,respond to outside requests for data.
8,identify patterns in operational data.
8,"actively monitor, analyze, and report metrics to track business performance goals."
8,official data steward for operations.
8,accountable for data quality.
8,monitor data quality.
8,identify data quality issues.
8,perform data cleanup.
8,work with business partners to provide technical guidance on operational data needs.
8,required experience qualifications bachelor's degree – stem background preferred. 1+ year analyst experience.
8,proficient in sql and excel.
8,"experience with reporting, business intelligence or similar."
8,experience with data visualization tools – tableau preferred.
8,good understanding of data infrastructures.
8,fluency in data analysis principles.
8,"able to build and iterate reports, tools, and dashboards."
8,detail-oriented.
8,able to understand and justify the gritty details of each report.
8,"data must be good, analysis must be sound, results must be correct, and metrics must make business sense."
8,proven ability to write excellent documentation.
8,excellent verbal and written skills.
8,must be able to clearly communicate data-related technical concepts.
8,"able to navigate between multiple projects, meet deadlines, and process ad hoc requests promptly. ."
8,preferred experience.
8,knowledge of python.
8,experience in manufacturing operations.
8,experience in life sciences biotech. .
8,about twist bioscience. .
8,"twist bioscience synthesizes genes from scratch, known as writing dna."
8,"just as children learn to both read and write, the next phase of development for the genomics revolution is the ability to write dna. ."
8,"at twist bioscience, we work in service of people who are changing the world for the better."
8,"in fields such as health care, agriculture, industrial chemicals and data storage, our unique silicon-based dna synthesis platform provides precision at a scale that is otherwise unavailable to our customers. ."
8,twist bioscience corporation is an equal opportunity employer.
8,"twist bioscience corporation provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, genetic characteristics, or any other category protected by law."
8,"san francisco applicants pursuant to the san francisco fair chance ordinance, we will consider for employment qualified applicants with arrest and conviction records."
